Rank,Difficulty,Score,Name,Level
171,Torment,39084718,tiggs,85
172,Torment,39084638,Hyro,85
173,Torment,39084558,GRY,85
174,Torment,39084078,Labeeb,85
175,Torment,39083438,GRD nuIL,85
176,Torment,39082478,LulumOreo,85
177,Torment,39081117,โรห,85
178,Torment,39080958,ARS|Kidd,85
179,Torment,39079758,ENI9MA,85
180,Torment,39079358,Andomon,85
181,Torment,39078318,Slnwza,85
182,Torment,39076398,ARS| Arino,85
183,Torment,39075518,AYuzuru,85
184,Torment,39075037,Walpurgis,85
185,Torment,39074798,Rioko,85
186,Torment,39074318,Vega039,85
187,Torment,39073758,???,85
188,Torment,39071998,Okarin,85
189,Torment,39071038,GHclmq,85
190,Torment,39070558,Scarlet,85
191,Torment,39066078,เทพเส,85
192,Torment,39064238,SpyDemon,85
193,Torment,39064238,Narukana,85
194,Torment,39063678,kAne3,85
195,Torment,39061118,McLaren~,85
196,Torment,39060238,ARSIEpinefrin,85
197,Torment,39059038,Chars,85
198,Torment,39058958,GHCInepgear,85
199,Torment,39056318,Kazama,85
200,Torment,39056078,PrinzEugen,85
201,Torment,39055038,End,85
202,Torment,39051838,???,85
203,Torment,39051198,Elvin-1Z,85
204,Torment,39051038,Kouun,85
205,Torment,39049678,Xagel,85
206,Torment,39047758,NaCl,85
207,Torment,39046318,GRD GodZee,85
208,Torment,39045677,TahoTrash,85
209,Torment,39045278,Raion,85
210,Torment,39044797,Liat,85
211,Torment,39044638,???,85
212,Torment,39044078,MIka|CHAN,85
213,Torment,39043038,Popo,85
214,Torment,39042958,VLEKNPA9,85
215,Torment,39042318,孤鶩,85
216,Torment,39040798,Protagonist,85
217,Torment,39039278,Ribbon,85
218,Torment,39038078,Grealish,85
219,Torment,39037038,GRD Castonzo,85
220,Torment,39035838,ARS| Yorita,85
221,Torment,39035678,Sairi,85
222,Torment,39035038,Zelus,85
223,Torment,39032877,Seayer,85
224,Torment,39032478,MARTINO,85
225,Torment,39025678,DY-2IVaphista,85
226,Torment,39023118,GRD DanSi,85
227,Torment,39022078,Kanca,85
228,Torment,39018558,Hasad,85
229,Torment,39016318,Artisphie,85
230,Torment,39013918,Haise,85
231,Torment,39013678,Amethyst,85
232,Torment,39013278,SZMQ,85
233,Torment,39010958,林有徳,85
234,Torment,39009838,梓噌,85
235,Torment,39007358,爰而絲,85
236,Torment,39005678,3uphonium,85
237,Torment,39005118,Ando,85
238,Torment,39004638,DY-7 | Mixkhrum,85
239,Torment,39003838,DY,85
240,Torment,39003838,Adjudz,85
241,Torment,39002638,絶望と破壊,85
242,Torment,39001678,Hanamichi,85
243,Torment,39001598,Natsuki,85
244,Torment,39001038,AKDAzaza,85
245,Torment,39000318,VhiLink,85
246,Torment,39000158,Sinya,???
247,Torment,38998158,pskw,85
248,Torment,38997838,Aman,85
249,Torment,38997358,Bocil,85
250,Torment,38992158,クロノ,85
251,Torment,38991758,ARS|Exus,85
252,Torment,38991678,Yuuka,85
253,Torment,38991278,water,85
254,Torment,38990317,Cat,85
255,Torment,38988317,TiltedSick,85
256,Torment,38983918,Mourevi,85
257,Torment,38980158,若,85
258,Torment,38978158,Toshi,85
259,Torment,38975358,Kenjiro,85
260,Torment,38973758,あすみ,85
261,Torment,38972638,ARS|Dian911,85
262,Torment,38971598,jqjqhqh,85
263,Torment,38971198,若離空,85
264,Torment,38968318,0,85
265,Torment,38967678,エロマンガ先生,85
266,Torment,38964478,Haruaki,85
267,Torment,38964478,Tomo,85
268,Torment,38964318,Nameless,85
269,Torment,38963358,하바,85
270,Torment,38963358,งช-7|ขอบยวย,85
271,Torment,38959118,Halorial,85
272,Torment,38957518,???,85
273,Torment,38956078,Erika,85
274,Torment,38954478,TF-Z,85
275,Torment,38954478,VincentXIII,85
276,Torment,38953678,AsuraNyan354,85
277,Torment,38952638,Draa,85
278,Torment,38950238,meonglr,85
279,Torment,38949118,Temere,85
280,Torment,38945599,Ramda,85
281,Torment,38942238,TSHj Reisa,85
282,Torment,38941358,Halp,85
283,Torment,38939278,hekk,85
284,Torment,38938958,Marude,85
285,Torment,38938638,Senea,85
286,Torment,38938158,Rage,85
287,Torment,38938078,クロ,85
288,Torment,38936558,Pepega,85
289,Torment,38935118,SolemnRaven198,85
290,Torment,38933518,Accel,85
291,Torment,38932958,ChocoMint,85
292,Torment,38928958,Xeno,85
293,Torment,38928798,CHAIN,85
294,Torment,38926718,Shii,85
295,Torment,38926078,Ayazaka,85
296,Torment,38925198,DY-6|LZRR,85
297,Torment,38922798,頤伯云,85
298,Torment,38920398,Celerio,85
299,Torment,38919598,NiNaoLina nis,85
300,Torment,38919518,Crowe,85
